measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,val,upper,lower
"% Change in Number of Smokers, 1990-2019",1,Global,1,Male,29,15+ years,0.183579612,0.200438301,0.166373289
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",1,Global,1,Male,29,15+ years,-0.275027726,-0.265055374,-0.285078994
"% Change in Number of Smokers, 1990-2019",1,Global,2,Female,29,15+ years,0.027346583,0.066359023,-0.008665658
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",1,Global,2,Female,29,15+ years,-0.377421625,-0.354123161,-0.399461164
"% Change in Number of Smokers, 1990-2019",1,Global,3,Both,29,15+ years,0.153778546,0.169123026,0.137887046
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",1,Global,3,Both,29,15+ years,-0.295709351,-0.286486313,-0.305203151
"% Change in Number of Smokers, 1990-2019",4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,0.292152776,0.324400543,0.258622176
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",4,"Southeast Asia, East Asia, and Oceania",1,Male,29,15+ years,-0.165647213,-0.145043549,-0.186339611
"% Change in Number of Smokers, 1990-2019",4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,0.412540431,0.634432762,0.204081998
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",4,"Southeast Asia, East Asia, and Oceania",2,Female,29,15+ years,-0.220729326,-0.109975499,-0.332329119
"% Change in Number of Smokers, 1990-2019",4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,0.300234049,0.334376322,0.264998926
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",4,"Southeast Asia, East Asia, and Oceania",3,Both,29,15+ years,-0.175168327,-0.154313305,-0.196672822
"% Change in Number of Smokers, 1990-2019",5,East Asia,1,Male,29,15+ years,0.210877867,0.250049493,0.169701323
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",5,East Asia,1,Male,29,15+ years,-0.180983295,-0.154007402,-0.207979453
"% Change in Number of Smokers, 1990-2019",5,East Asia,2,Female,29,15+ years,0.422535898,0.753961359,0.127051282
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",5,East Asia,2,Female,29,15+ years,-0.207091836,-0.038392589,-0.363592048
"% Change in Number of Smokers, 1990-2019",5,East Asia,3,Both,29,15+ years,0.223072878,0.264309777,0.180042866
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",5,East Asia,3,Both,29,15+ years,-0.192961396,-0.165159134,-0.22178826
"% Change in Number of Smokers, 1990-2019",6,China,1,Male,29,15+ years,0.208942701,0.248293463,0.16703666
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",6,China,1,Male,29,15+ years,-0.182132788,-0.154929847,-0.209768563
"% Change in Number of Smokers, 1990-2019",6,China,2,Female,29,15+ years,0.437793907,0.785238378,0.130001694
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",6,China,2,Female,29,15+ years,-0.208608074,-0.035292566,-0.374062004
"% Change in Number of Smokers, 1990-2019",6,China,3,Both,29,15+ years,0.221800317,0.264584311,0.177542705
"% Change in Age-Standardized Smoking Prevalence, 1990-2019",6,China,3,Both,29,15+ years,-0.195144893,-0.165969342,-0.224606061
"% Change in Number of Smokers, 1990-2019",7,Democratic People's Republic of Korea,1,Male,29,15+ years,0.496016542,0.622967193,0.385453825
